"index","unique_id","ds","model_label","cutoff","y","forecast","lower","upper","partition","model_name"
"38","1","2024-11-27T00:00:00.000","knn","2024-11-26T11:00:00.000","483113","479654","458023.81953125","501284.18046875","1","KNeighborsRegressor"
"39","1","2024-11-27T00:00:00.000","knn","2024-11-26T23:00:00.000","483113","476316","471956.590625","480675.409375","2","KNeighborsRegressor"
"40","1","2024-11-27T00:00:00.000","mlp","2024-11-26T11:00:00.000","483113","474197.78125","457190.8140625","491204.7484375","1","MLPRegressor"
"41","1","2024-11-27T00:00:00.000","mlp","2024-11-26T23:00:00.000","483113","481496.15625","474025.26328125","488967.04921875","2","MLPRegressor"
"42","1","2024-11-27T01:00:00.000","enet","2024-11-26T11:00:00.000","484300","491306.75","475232.8234375","507380.6765625","1","ElasticNet"
"43","1","2024-11-27T01:00:00.000","enet","2024-11-26T23:00:00.000","484300","486860.1875","482019.72265625","491700.65234375","2","ElasticNet"
"44","1","2024-11-27T01:00:00.000","knn","2024-11-26T11:00:00.000","484300","479404.8125","452656.82734375","506152.79765625","1","KNeighborsRegressor"
"45","1","2024-11-27T01:00:00.000","knn","2024-11-26T23:00:00.000","484300","475989.1875","471351.92421875","480626.45078125","2","KNeighborsRegressor"
"46","1","2024-11-27T01:00:00.000","mlp","2024-11-26T11:00:00.000","484300","472810.09375","456770.78359375","488849.40390625","1","MLPRegressor"
"47","1","2024-11-27T01:00:00.000","mlp","2024-11-26T23:00:00.000","484300","489309.6875","482108.55859375","496510.81640625","2","MLPRegressor"
"48","1","2024-11-27T02:00:00.000","enet","2024-11-26T11:00:00.000","480209","484437.65625","470400.60703125","498474.70546875","1","ElasticNet"
"49","1","2024-11-27T02:00:00.000","enet","2024-11-26T23:00:00.000","480209","485013.15625","477120.34609375","492905.96640625","2","ElasticNet"
"50","1","2024-11-27T02:00:00.000","knn","2024-11-26T11:00:00.000","480209","474414.1875","446392.73359375","502435.64140625","1","KNeighborsRegressor"
"51","1","2024-11-27T02:00:00.000","knn","2024-11-26T23:00:00.000","480209","472408.59375","459571.49921875","485245.68828125","2","KNeighborsRegressor"
"52","1","2024-11-27T02:00:00.000","mlp","2024-11-26T11:00:00.000","480209","466632.84375","449394.76796875","483870.91953125","1","MLPRegressor"
"53","1","2024-11-27T02:00:00.000","mlp","2024-11-26T23:00:00.000","480209","490341.84375","478428.175","502255.5125","2","MLPRegressor"
"54","1","2024-11-27T03:00:00.000","enet","2024-11-26T11:00:00.000","471759","472475.125","461335.34296875","483614.90703125","1","ElasticNet"
"55","1","2024-11-27T03:00:00.000","enet","2024-11-26T23:00:00.000","471759","476000.5625","467433.0203125","484568.1046875","2","ElasticNet"
"56","1","2024-11-27T03:00:00.000","knn","2024-11-26T11:00:00.000","471759","464776.40625","438192.68203125","491360.13046875","1","KNeighborsRegressor"
"57","1","2024-11-27T03:00:00.000","knn","2024-11-26T23:00:00.000","471759","466359.8125","451871.8828125","480847.7421875","2","KNeighborsRegressor"
"58","1","2024-11-27T03:00:00.000","mlp","2024-11-26T11:00:00.000","471759","455647.65625","438447.23203125","472848.08046875","1","MLPRegressor"
"59","1","2024-11-27T03:00:00.000","mlp","2024-11-26T23:00:00.000","471759","484335","466319.078125","502350.921875","2","MLPRegressor"
"60","1","2024-11-27T04:00:00.000","enet","2024-11-26T11:00:00.000","458093","456498.6875","447854.05390625","465143.32109375","1","ElasticNet"
"61","1","2024-11-27T04:00:00.000","enet","2024-11-26T23:00:00.000","458093","460689.125","451659.3421875","469718.9078125","2","ElasticNet"
