"index","unique_id","ds","cutoff","y","knn","mlp","enet","knn-lo-95","knn-hi-95","mlp-lo-95","mlp-hi-95","enet-lo-95","enet-hi-95"
"39","1","2024-11-28T03:00:00.000","2024-11-26T11:00:00.000","466428","463467.59375","445518.28125","473980.21875","426422.0375","500513.15","406192.690625","484843.871875","450966.79296875","496993.64453125"
"40","1","2024-11-28T04:00:00.000","2024-11-26T11:00:00.000","452025","448279.40625","431694.75","458170.28125","413543.14140625","483015.67109375","395870.496875","467519.003125","433861.12265625","482479.43984375"
"41","1","2024-11-28T05:00:00.000","2024-11-26T11:00:00.000","435245","430420.1875","416705.15625","441318.5","398623.18125","462217.19375","384072.05078125","449338.26171875","416310.31484375","466326.68515625"
"42","1","2024-11-28T06:00:00.000","2024-11-26T11:00:00.000","417564","412011.1875","402558.5","425398.6875","381038.6375","442983.7375","371018.18515625","434098.81484375","398198.534375","452598.840625"
"43","1","2024-11-28T07:00:00.000","2024-11-26T11:00:00.000","404890","399515.1875","391202.6875","412335.09375","370634.7671875","428395.6078125","357963.0921875","424442.2828125","381421.9609375","443248.2265625"
"44","1","2024-11-28T08:00:00.000","2024-11-26T11:00:00.000","393739","390566.1875","383941.59375","403871.96875","362374.54453125","418757.83046875","349186.61484375","418696.57265625","371093.33203125","436650.60546875"
"45","1","2024-11-28T09:00:00.000","2024-11-26T11:00:00.000","387000","387238.40625","381448.25","401125.25","359811.92421875","414664.88828125","344762.6984375","418133.8015625","367984.13515625","434266.36484375"
"46","1","2024-11-28T10:00:00.000","2024-11-26T11:00:00.000","384377","387733.1875","383399.34375","404032.59375","360883.68828125","414582.68671875","343683.42578125","423115.26171875","371187.8375","436877.35"
"47","1","2024-11-28T11:00:00.000","2024-11-26T11:00:00.000","385229","396780.1875","388810.40625","411362.65625","375609.3","417951.075","342002.32578125","435618.48671875","375874.02578125","446851.28671875"
"48","1","2024-11-28T12:00:00.000","2024-11-26T11:00:00.000","391633","419507.1875","396267.0625","421308.5","398041.86953125","440972.50546875","329641.6375","462892.4875","372315.28671875","470301.71328125"
"49","1","2024-11-28T13:00:00.000","2024-11-26T11:00:00.000","404142","443204","404316.34375","432127.1875","422181.11953125","464226.88046875","320538.95859375","488093.72890625","370902.84453125","493351.53046875"
"50","1","2024-11-28T14:00:00.000","2024-11-26T11:00:00.000","420907","451755.40625","411772.40625","442515.03125","426370.840625","477139.971875","325040.42734375","498504.38515625","383354.2625","501675.8"
"51","1","2024-11-28T15:00:00.000","2024-11-26T11:00:00.000","440964","458332.8125","417998.40625","451677.4375","432043.1234375","484622.5015625","336012.43359375","499984.37890625","402244.23671875","501110.63828125"
"52","1","2024-11-28T16:00:00.000","2024-11-26T11:00:00.000","457446","464633.8125","422969.34375","459317.71875","440404.41328125","488863.21171875","346526.7359375","499411.9515625","419996.36953125","498639.06796875"
"53","1","2024-11-28T17:00:00.000","2024-11-26T11:00:00.000","466889","466587.8125","427149.25","465659.9375","446693.7578125","486481.8671875","356877.50703125","497420.99296875","436301.25703125","495018.61796875"
"54","1","2024-11-28T18:00:00.000","2024-11-26T11:00:00.000","467330","469748.59375","431192.90625","471299.1875","457907.034375","481590.153125","368200.484375","494185.328125","452111.31796875","490487.05703125"
"55","1","2024-11-28T19:00:00.000","2024-11-26T11:00:00.000","459047","469283","435695.3125","476888.75","463502.190625","475063.809375","379477.68203125","491912.94296875","466529.96015625","487247.53984375"
"56","1","2024-11-28T20:00:00.000","2024-11-26T11:00:00.000","449599","468507.8125","440891.5625","482836.40625","464294.99140625","472720.63359375","392147.74140625","489635.38359375","480813.0203125","484859.7921875"
"57","1","2024-11-28T21:00:00.000","2024-11-26T11:00:00.000","441221","467695.59375","446482.96875","489081.90625","459971.30390625","475419.88359375","402906.3953125","490059.5421875","485638.2515625","492525.5609375"
"58","1","2024-11-28T22:00:00.000","2024-11-26T11:00:00.000","436499","468484.40625","451661.3125","494848.34375","457812.39140625","479156.42109375","410048.2796875","493274.3453125","490191.65546875","499505.03203125"
"59","1","2024-11-28T23:00:00.000","2024-11-26T11:00:00.000","435231","472792.59375","455282.90625","499026.375","458071.7","487513.4875","409822.13203125","500743.68046875","495788.4328125","502264.3171875"
"60","1","2024-11-29T00:00:00.000","2024-11-26T11:00:00.000","434944","477366.40625","456098.6875","499023.84375","466451.3578125","488281.4546875","409040.4421875","503156.9328125","491930.82421875","506116.86328125"
"61","1","2024-11-29T01:00:00.000","2024-11-26T11:00:00.000","434876","475774.59375","453244.71875","494261.6875","469795.4453125","481753.7421875","411623.796875","494865.640625","485536.21875","502987.15625"
"62","1","2024-11-29T02:00:00.000","2024-11-26T11:00:00.000","434605","471086.8125","446349.15625","484777.96875","463088.6515625","479084.9734375","409017.26171875","483681.05078125","472304.13359375","497251.80390625"
"63","1","2024-11-29T03:00:00.000","2024-11-26T11:00:00.000","432335","461697","435819.53125","471388.625","447450.78671875","475943.21328125","402630.446875","469008.615625","454820.340625","487956.909375"
"64","1","2024-11-29T04:00:00.000","2024-11-26T11:00:00.000","426643","448949.1875","422739.78125","455411.28125","433836.203125","464062.171875","393159.1921875","452320.3703125","434130.52578125","476692.03671875"
