unique_id,ds,cutoff,y,lightGBM,xgboost,linear_regression,lasso,ridge,lightGBM-lo-95,lightGBM-hi-95,xgboost-lo-95,xgboost-hi-95,linear_regression-lo-95,linear_regression-hi-95,lasso-lo-95,lasso-hi-95,ridge-lo-95,ridge-hi-95
1,2024-04-14 10:00:00,2024-04-13 23:00:00,339782.92,342797.5673246771,341760.66,338763.38472569786,338295.7250155375,338763.6066860189,329826.9731295302,355768.16151982395,319323.05690625,364198.25559375,319543.9314365066,357982.8380148891,317360.80058635003,359230.649444725,319544.10476873565,357983.1086033021
1,2024-04-14 11:00:00,2024-04-13 23:00:00,343712.83,345590.3808974153,345149.94,345419.9771306163,344944.70986060164,345420.200980533,330168.6739001104,361012.08789472014,322813.14906250004,367486.7259375,323178.8764536465,367661.0778075861,321828.0858690418,368061.3338521615,323179.01217598835,367661.3897850776
1,2024-04-14 12:00:00,2024-04-13 23:00:00,349453.22,353589.8471424547,354044.4,353848.7401153444,353137.39390890946,353848.96397473436,338119.0805470136,369060.6137378958,330089.1138125,377999.6986875,328867.0854988456,378830.3947318432,327885.02526937943,378389.76254843955,328867.2171867183,378830.7107627504
1,2024-04-14 13:00:00,2024-04-13 23:00:00,356873.82,361996.6794785322,361018.72,361591.99615351803,360636.7379414644,361592.21906138165,349503.37192313455,374489.9870339299,336851.62596875,385185.81153125,336690.6175766312,386493.3747304049,335930.8648207767,385342.61106215214,336690.6793709271,386493.7587518362
1,2024-04-14 14:00:00,2024-04-13 23:00:00,364367.73,370204.2883828268,371337.7,367402.7359957753,366464.5891074012,367402.9585490162,355145.20083174924,385263.3759339043,345356.59575,397318.77925,343683.8235688881,391121.6484226625,342782.3865385132,390146.7916762892,343683.88368346466,391122.03341456776
1,2024-04-14 15:00:00,2024-04-13 23:00:00,371303.95,379916.88488336426,380742.34,371598.16062317364,370846.30305146053,371598.38346175244,365655.0735354761,394178.6962312524,356089.33321875,405395.35428125,349691.3145147916,393505.0067315557,348761.1401385293,392931.46596439177,349691.37347469945,393505.39344880544
1,2024-04-14 16:00:00,2024-04-13 23:00:00,379297.22,387112.9623961131,389407.16,374805.75759435276,374146.43614308647,374805.9801894466,374583.55826558283,399642.36652664334,366661.0211875,412153.2913125,356134.76299259305,393476.7521961125,355230.21917711647,393062.65310905647,356134.8202734317,393477.14010546147
1,2024-04-14 17:00:00,2024-04-13 23:00:00,387664.04,393050.9246844297,393645.72,377346.13207310275,376719.9029519368,377346.35352759965,381276.597215304,404825.25215355546,373533.5103125,413757.9271875,362829.97873131634,391862.28541488916,362189.3061049255,391250.4997989481,362830.0334339131,391862.67362128623
1,2024-04-14 18:00:00,2024-04-13 23:00:00,395810.21,396898.5619869199,396662.66,380132.6060935965,379382.12995485315,380132.82652978465,384371.2511556935,409425.8728181463,379884.48878124997,413440.82371875003,367873.6403567385,392391.57183045446,367256.4951898059,391507.7647199004,367873.6383501011,392392.01470946823
1,2024-04-14 19:00:00,2024-04-13 23:00:00,402932.01,399203.1688719505,398366.56,383515.18883793545,383038.4656848362,383515.40912452916,386353.77825725864,412052.5594866423,385409.57146875,411323.55353125,371341.1763864913,395689.2012893797,371096.10050381086,394980.83086586156,371341.1754889439,395689.64276011445
