index,respondent,type,value,value-units,y
2019-01-05 03:00:00,US48,D,463786,megawatthours,463786.0
2019-01-05 04:00:00,US48,D,450074,megawatthours,450074.0
2019-01-05 05:00:00,US48,D,433123,megawatthours,433123.0
2019-01-05 06:00:00,US48,D,416009,megawatthours,416009.0
2019-01-05 07:00:00,US48,D,403154,megawatthours,403154.0
2019-01-05 08:00:00,US48,D,393753,megawatthours,393753.0
2019-01-05 09:00:00,US48,D,389151,megawatthours,389151.0
2019-01-05 10:00:00,US48,D,389760,megawatthours,389760.0
2019-01-05 11:00:00,US48,D,395796,megawatthours,395796.0
2019-01-05 12:00:00,US48,D,406055,megawatthours,406055.0
2019-01-05 13:00:00,US48,D,420938,megawatthours,420938.0
2019-01-05 14:00:00,US48,D,436221,megawatthours,436221.0
2019-01-05 15:00:00,US48,D,445326,megawatthours,445326.0
2019-01-05 16:00:00,US48,D,444529,megawatthours,444529.0
2019-01-05 17:00:00,US48,D,439277,megawatthours,439277.0
2019-01-05 18:00:00,US48,D,431484,megawatthours,431484.0
2019-01-05 19:00:00,US48,D,422407,megawatthours,422407.0
2019-01-05 20:00:00,US48,D,414703,megawatthours,414703.0
2019-01-05 21:00:00,US48,D,410675,megawatthours,410675.0
2019-01-05 22:00:00,US48,D,412231,megawatthours,412231.0
2019-01-05 23:00:00,US48,D,423927,megawatthours,423927.0
2019-01-06 00:00:00,US48,D,439489,megawatthours,439489.0
2019-01-06 01:00:00,US48,D,445995,megawatthours,445995.0
2019-01-06 02:00:00,US48,D,445306,megawatthours,445306.0
2019-01-06 03:00:00,US48,D,437842,megawatthours,437842.0
2019-01-06 04:00:00,US48,D,427533,megawatthours,427533.0
2019-01-06 05:00:00,US48,D,413124,megawatthours,413124.0
2019-01-06 06:00:00,US48,D,400072,megawatthours,400072.0
2019-01-06 07:00:00,US48,D,388565,megawatthours,388565.0
2019-01-06 08:00:00,US48,D,381250,megawatthours,381250.0
2019-01-06 09:00:00,US48,D,378050,megawatthours,378050.0
2019-01-06 10:00:00,US48,D,377985,megawatthours,377985.0
2019-01-06 11:00:00,US48,D,381675,megawatthours,381675.0
2019-01-06 12:00:00,US48,D,389757,megawatthours,389757.0
